,NumOfProducts,HasCrCard,IsActiveMember,Gender,CustomerId,Surname,CreditScore,Age,Tenure,Balance,EstimatedSalary
3039,2,1,1,Female,15666141,Baldwin,829,26,8,101440.36,19324.5
9655,2,1,0,Female,15668971,Nicholson,583,40,4,55776.39,26920.43
2545,1,1,1,Female,15687130,Nkemjika,686,43,0,0.0,170072.9
2592,2,1,1,Male,15658956,Tuan,505,40,6,47869.69,155061.97
1188,2,1,0,Male,15639882,She,528,30,2,128262.72,50771.16
7966,2,1,1,Female,15750574,Lumholtz,677,34,4,0.0,6175.53
6077,1,0,0,Female,15738588,Nebechi,660,37,2,133200.09,71433.88
107,1,0,1,Female,15812878,Parsons,785,36,2,99806.85,36976.52
1315,1,0,0,Female,15734634,Bocharova,607,27,5,100912.19,7631.27
8187,2,1,0,Female,15771674,Ma,603,39,5,162390.52,54702.66
2753,2,0,0,Female,15774491,Ross,480,28,6,0.0,48131.92
9753,1,1,1,Male,15705174,Chiedozie,656,68,7,153545.11,186574.68
6231,1,1,1,Male,15729238,Peng,631,48,1,106396.48,150661.42
2876,1,1,1,Female,15585284,Thomson,604,35,7,147285.52,57807.05
5323,1,1,1,Male,15569264,Yobanna,622,32,5,179305.09,149043.78
799,1,0,1,Female,15567367,Tao,601,42,9,133636.16,103315.74
3570,1,1,0,Male,15706005,Roberts,674,46,2,174701.05,90189.72
2894,1,1,1,Male,15644119,Sochima,531,31,3,0.0,42589.33
2927,1,1,1,Male,15669656,Macdonald,632,32,6,111589.33,170382.99
8178,2,1,1,Female,15809654,Hsia,707,46,7,127476.73,146011.55
971,2,1,1,Male,15801488,Buckner,723,25,3,0.0,134509.47
6687,2,1,1,Male,15662908,Davidson,795,38,7,125903.22,127068.92
8575,2,0,0,Male,15690175,Ball,585,45,0,0.0,189683.7
2020,1,1,0,Female,15565779,Kent,627,30,6,57809.32,188258.49
9054,2,0,1,Female,15617476,Manfrin,546,30,5,0.0,198543.09
952,1,0,1,Female,15606149,Wood,571,66,9,111577.01,189271.9
5359,1,1,1,Male,15801832,Lombardo,684,42,1,117691.0,23135.65
3857,1,1,1,Female,15805025,Oster,636,45,7,139859.23,108402.54
5861,1,1,1,Male,15713819,Walsh,562,48,3,92347.96,163116.75
3145,1,0,0,Female,15775590,Mackay,482,48,2,69329.47,102640.52
3305,1,1,1,Female,15574072,Ch'ien,786,62,8,0.0,165702.64
3006,1,1,0,Female,15720943,Pirozzi,747,45,1,114959.12,189362.39
9001,1,1,1,Male,15733111,Yeh,688,32,6,124179.3,138759.15
7770,1,1,1,Male,15809509,Venables,699,29,3,125689.29,151623.71
7438,2,1,0,Female,15676156,Boyle,528,32,4,85615.66,156192.43
7942,1,1,1,Female,15661409,Shen,542,42,1,0.0,178256.58
9238,2,1,0,Female,15639133,Ku,773,50,4,0.0,129372.94
1056,2,1,0,Male,15798521,Tai,675,33,3,0.0,45348.08
3154,2,0,1,Male,15609637,Nkemakolam,652,51,7,0.0,43496.36
3787,1,1,1,Male,15644174,Marchesi,638,27,4,135096.05,186523.72
9189,2,1,0,Male,15793723,Ch'iu,607,32,9,144272.07,176580.63
7825,2,1,0,Female,15802758,Chinwendu,594,23,4,104753.84,56756.52
7539,1,1,0,Male,15609987,Smith,755,42,2,119919.12,156868.21
7231,1,1,1,Male,15607986,Nnamutaezinwa,555,40,10,139930.18,105720.09
764,3,1,1,Male,15672056,Kenenna,710,43,2,140080.32,157908.19
5019,1,0,1,Female,15584113,Pratt,823,53,4,124954.94,131259.6
4903,2,0,0,Male,15628530,Booth,694,42,3,156864.2,88890.75
8093,2,1,0,Male,15779267,Onyemere,584,47,5,0.0,89286.29
6843,1,1,1,Male,15611171,Fowler,740,33,1,129574.98,123300.38
2165,2,0,1,Male,15585041,Ainsworth,511,33,7,0.0,158313.87
1862,1,1,0,Male,15726494,Romani,481,44,9,175303.06,65500.53
7850,2,1,0,Female,15679663,Chiazagomekpere,488,36,0,0.0,136675.22
9123,1,0,0,Male,15679029,Kung,718,33,7,102874.28,117841.06
2340,1,0,0,Male,15595728,Thomas,523,41,0,119276.31,122284.38
5527,1,1,1,Male,15689602,Findlay,698,38,2,130015.24,41595.3
6743,1,1,0,Female,15616213,Levy,555,51,9,138214.5,198715.27
4003,2,1,1,Female,15626141,Fedorov,750,26,1,151510.17,19921.72
1123,1,1,1,Male,15596800,Hill,779,33,1,158456.76,197000.92
8709,2,1,0,Male,15713517,Otitodilinna,529,39,6,102025.08,12351.01
4049,2,1,1,Male,15806184,Burns,618,33,4,0.0,77550.18
7640,1,1,0,Female,15572361,Chill,790,34,2,164011.48,199420.41
765,1,1,0,Female,15812351,Beluchi,710,27,2,135277.96,142200.15
2344,1,1,0,Female,15642345,Y?,714,49,4,93059.34,7571.51
4071,1,1,0,Female,15732430,H?,850,54,4,120952.74,66963.15
7216,3,1,0,Male,15730287,Ugonna,679,41,8,147726.98,172749.4
4216,1,1,1,Male,15718852,Uren,794,56,9,96951.21,71776.76
7952,2,1,1,Female,15622305,Martin,746,33,2,107868.14,146192.4
5970,1,0,0,Male,15634295,Wilson,470,35,1,96473.59,5962.3
3350,2,0,1,Male,15685628,Calabresi,670,35,2,124268.64,84321.03
4695,1,1,1,Male,15786739,Clements,669,37,1,125529.55,162260.93
3399,1,1,0,Female,15633352,Okwukwe,628,31,6,175443.75,113167.17
4081,2,0,1,Male,15762821,Udinese,721,33,5,0.0,117626.9
9149,2,1,0,Female,15814331,Lung,597,43,7,119127.46,55809.92
1224,1,1,0,Female,15628298,Johnstone,500,47,8,128486.11,179227.12
6292,1,0,1,Female,15713673,T'ien,494,33,1,137853.0,90273.85
3122,1,1,0,Male,15575002,Ferguson,676,29,4,140720.93,36221.18
510,2,1,1,Female,15568506,Forbes,524,31,10,67238.98,161811.23
5794,2,1,1,Male,15694125,McElhone,669,57,5,0.0,56875.76
8181,2,0,1,Male,15566790,McIntyre,598,28,8,129991.76,46041.08
9417,2,1,0,Female,15656829,Hughes,577,33,6,0.0,57975.8
96,1,0,1,Male,15738721,Graham,773,41,9,102827.44,64595.25
6681,1,1,1,Male,15736717,Ma,602,31,7,155271.83,179446.31
1512,2,1,1,Male,15586974,Pearce,656,39,10,0.0,98894.64
8791,2,1,1,Female,15783276,Forbes,725,25,9,0.0,168607.74
119,2,1,0,Male,15600781,Wu,699,34,4,185173.81,120834.48
7791,1,1,0,Female,15570299,Martin,584,31,6,152622.34,99298.8
6517,2,1,1,Female,15795246,Kaeppel,628,51,9,155903.82,71159.84
33,2,1,1,Female,15659428,Maggard,520,42,6,0.0,34410.55
7887,2,0,0,Female,15745433,Conti,716,30,2,205770.78,65464.66
6830,2,0,0,Male,15669262,Maslov,765,43,9,157960.49,136602.8
5421,2,0,0,Female,15757661,Trevisano,589,39,7,0.0,95985.64
1068,1,1,0,Male,15680303,Gibson,594,57,6,0.0,19376.56
1347,2,1,1,Male,15668445,Mai,521,37,2,0.0,86372.24
4747,2,0,1,Male,15702380,De Luca,663,64,6,0.0,15876.52
6005,2,0,1,Female,15589323,Law,636,24,9,0.0,38830.72
6039,2,0,1,Male,15768887,Hsing,597,26,5,0.0,95159.13
3817,1,0,0,Female,15724251,Todd,682,29,6,101012.77,32589.89
8446,2,1,0,Female,15630511,Picot,691,33,6,0.0,164074.89
5269,1,1,0,Male,15732281,Ugoji,680,34,6,146422.22,67142.97
6897,1,1,1,Female,15650488,Bromley,492,48,6,127253.98,92144.09
5309,1,1,0,Female,15778696,Ikemefuna,684,36,5,174180.39,119830.08
31,1,0,1,Male,15706552,Odinakachukwu,533,36,7,85311.7,156731.91
5674,2,0,0,Male,15767598,Kent,540,28,8,0.0,197588.32
4386,1,1,0,Female,15621520,Tang,783,42,2,139707.28,2150.22
29,2,1,1,Male,15656300,Lucciano,411,29,0,59697.17,53483.21
4202,2,0,0,Male,15757588,Wright,526,30,9,0.0,100995.68
7507,1,1,0,Male,15642001,Lorenzen,576,44,9,119530.52,119056.68
735,1,1,1,Male,15784209,Tang,497,47,6,0.0,90055.08
2067,1,1,1,Male,15767794,Browne,744,31,9,120718.28,58961.49
106,1,1,1,Male,15599195,Stiger,582,32,1,88938.62,10054.53
9644,2,1,1,Female,15728480,Iloerika,452,35,8,0.0,149614.81
8894,1,1,1,Female,15631222,Cattaneo,485,39,2,75339.64,70665.16
8020,1,1,1,Female,15669491,Cruz,850,46,2,157866.77,18986.12
2232,2,1,0,Male,15671969,Pruneda,649,36,8,0.0,161668.15
993,1,0,0,Female,15782899,Ginn,661,28,7,95357.49,102297.15
9412,1,0,0,Male,15724648,Chikezie,725,26,6,98684.15,133720.57
7058,3,1,1,Female,15671769,Zikoranachidimma,624,71,4,170252.05,73679.59
6789,2,0,0,Male,15809847,Tan,668,46,0,0.0,29388.02
360,2,0,1,Male,15803716,West,706,28,3,0.0,181543.67
304,1,0,0,Male,15812191,Brennan,553,33,4,118082.89,94440.45
2627,2,1,0,Male,15707144,Onyeorulu,571,25,6,82506.72,167705.07
8965,1,1,1,Female,15811032,Gambrell,477,58,8,145984.92,24564.7
4513,2,0,0,Female,15722212,Edmondstone,696,41,8,0.0,28276.83
5910,1,1,1,Female,15700749,Powell,481,39,6,0.0,24677.54
8313,1,1,0,Male,15750121,Tung,639,38,3,0.0,42862.82
3100,2,1,1,Male,15735549,Lori,810,35,3,96814.46,120511.03
5703,1,1,0,Female,15621063,Gibbons,516,42,8,56228.25,46857.52
3898,1,1,0,Male,15750156,Yu,662,59,2,104568.41,8059.44
5440,1,0,0,Male,15807269,Milanesi,690,43,2,166522.78,119644.59
7930,2,0,0,Male,15606436,Bergamaschi,500,38,7,0.0,192013.23
621,1,0,1,Female,15603134,Pai,656,40,10,167878.5,151887.16
7235,1,1,0,Male,15629750,Artyomova,697,35,5,133087.76,64771.61
2498,2,1,1,Male,15648735,Cashin,718,37,8,0.0,142.81
713,1,1,0,Female,15716164,Nicholls,501,41,3,144260.5,172114.67
8403,2,0,1,Female,15707219,Hopman,844,28,4,0.0,123318.37
2855,2,1,1,Female,15693203,Powell,710,75,5,0.0,9376.89
4269,1,0,1,Male,15580252,Waters,748,44,4,112610.77,2048.55
2908,1,1,1,Male,15570769,Kibble,494,69,9,93320.8,24489.44
8080,1,1,0,Male,15668775,Pendred,757,47,3,130747.1,143829.54
4516,4,1,1,Female,15812210,Yashina,497,32,8,111537.23,9497.99
1261,2,1,0,Male,15794870,Sal,744,38,6,73023.17,78770.86
3160,2,1,1,Male,15672821,Owen,591,28,5,0.0,48606.92
970,1,1,1,Female,15805955,L?,638,48,10,138333.03,47679.14
3912,2,0,0,Male,15655590,Garcia,581,46,2,79385.21,188492.82
5198,1,0,0,Male,15660768,L?,604,40,1,84315.02,36209.1
8846,2,1,0,Female,15616365,Obiuto,571,53,2,0.0,28045.77
259,1,1,1,Male,15607178,Welch,850,38,3,54901.01,140075.55
3790,1,1,1,Female,15756751,Griffiths,596,54,0,78126.28,153482.91
9202,1,1,0,Male,15735782,MacDonald,528,31,9,120962.59,5419.31
487,1,1,1,Male,15613772,Dalrymple,542,39,3,135096.77,14353.43
7907,2,1,1,Female,15688157,Padovano,683,39,2,47685.47,86019.48
518,2,0,1,Male,15775912,Mazzanti,698,48,4,101238.24,177815.87
8342,2,1,0,Female,15773876,Tung,655,34,3,0.0,159638.77
311,1,1,0,Male,15702919,Collins,729,30,6,63669.42,145111.37
3231,1,1,0,Male,15587177,Lloyd,646,36,6,124445.52,88481.32
7932,1,1,0,Male,15812365,Greco,850,40,8,102800.65,60811.56
7457,4,1,0,Female,15668889,Galgano,665,43,2,116322.27,35640.12
9783,2,1,0,Female,15680430,Ajuluchukwu,601,49,4,96252.98,104263.82
5183,2,0,1,Male,15621440,Soto,694,38,1,0.0,156858.2
8076,1,0,0,Female,15590349,Rowland,732,36,9,0.0,3749.0
6501,2,1,0,Male,15761364,Nkemjika,679,30,9,0.0,157871.55
6790,1,0,1,Female,15599074,Ma,487,40,6,136093.74,193408.43
7772,1,1,0,Female,15614168,Alexander,792,50,4,146710.76,16528.4
2737,2,0,1,Male,15644724,Fan,472,31,4,58662.92,73322.0
7841,1,1,1,Female,15789563,Fiorentino,706,46,7,111288.18,149170.25
6261,1,0,0,Female,15595162,Cattaneo,708,35,8,122570.69,199005.88
8205,1,1,0,Female,15800793,St Clair,477,39,4,182491.57,185830.72
1247,2,1,0,Male,15711288,Hay,512,24,6,0.0,37654.31
9335,2,1,0,Male,15739123,Mellor,737,50,4,127552.85,4225.11
4194,1,1,1,Female,15660524,Hu,572,54,9,97382.53,195771.95
8000,2,1,1,Male,15629002,Hamilton,747,36,8,102603.3,180693.61
7377,1,1,1,Female,15592999,Reid,691,40,0,115465.98,60622.61
3434,1,1,1,Male,15712303,Valentin,692,66,4,159732.02,118188.15
5381,2,1,1,Male,15663883,Hansen,850,32,9,141827.33,149458.73
958,1,0,0,Male,15619529,Ndukaku,531,27,8,132576.25,7222.92
416,1,0,0,Female,15720559,Heath,487,61,5,110368.03,11384.45
5741,1,0,1,Male,15725036,Jideofor,709,42,9,118546.71,77142.85
6727,1,1,0,Female,15610416,Christie,745,36,9,0.0,19605.18
4381,2,0,1,Male,15680370,DeRose,492,39,7,0.0,71323.23
5196,1,1,1,Female,15670822,Palmer,719,22,7,114415.84,177497.4
1112,2,0,0,Female,15714750,Northey,690,42,3,92578.14,70810.6
2688,1,1,1,Male,15728474,Chienezie,558,32,4,108235.91,143783.28
6472,1,1,0,Female,15588419,Johnston,651,34,10,148962.46,66389.43
8819,1,0,1,Male,15790750,Manfrin,592,36,10,123187.51,146111.35
7807,1,1,1,Male,15568904,Kruglova,608,34,3,106288.54,36639.25
3410,2,0,0,Male,15595937,Bruno,430,36,1,138992.48,122373.42
80,2,0,0,Female,15706021,Buley,665,34,1,96645.54,171413.66
4613,2,1,1,Female,15792565,Duncan,745,46,7,0.0,67769.94
1373,1,1,0,Female,15771942,Tikhonov,528,46,9,135555.66,133146.03
1509,1,1,0,Male,15638149,Rowley,528,37,6,103772.45,197111.99
6442,1,1,0,Male,15719212,T'ien,491,33,5,83134.3,187946.55
3070,2,1,0,Male,15794661,Liu,674,32,2,0.0,140579.17
3015,2,1,0,Male,15591433,Miles,674,43,8,85957.88,8757.39
4822,4,0,1,Female,15805704,Murphy,745,32,2,0.0,179705.13
7821,1,0,1,Female,15686588,Manfrin,777,28,2,134571.5,118313.38
92,2,1,0,Female,15809248,Cole,524,36,10,0.0,109614.57
9420,2,0,1,Female,15637324,Kay,657,28,7,0.0,5177.62
6599,1,1,0,Male,15739578,Chiazagomekpere,850,49,6,128663.9,65769.3
4442,2,0,1,Male,15766163,Zotova,676,38,1,0.0,35644.79
7601,1,0,1,Male,15693382,Muir,828,31,9,0.0,164257.37
3834,2,0,0,Female,15704819,Ositadimma,734,39,6,92126.26,112973.34
9701,1,1,0,Male,15636912,Sneddon,678,38,3,124483.53,126253.31
4321,1,1,1,Male,15794257,Hsiung,651,34,4,91562.99,123954.15
3393,2,1,1,Male,15600626,Bradley,710,30,6,0.0,8991.17
4751,2,1,0,Female,15763256,Sheppard,661,64,8,128751.65,189398.18
7228,2,1,1,Female,15707602,Macleod,539,47,2,127286.04,166929.43
9190,2,1,0,Female,15798943,Alexander,646,46,8,0.0,133059.15
2360,1,1,0,Female,15670205,Boyd,518,41,5,110624.99,89327.67
1147,3,1,0,Female,15671209,Holden,593,29,5,101713.84,134594.99
5665,2,1,0,Male,15766064,Komarova,559,33,9,111060.05,110371.84
8074,1,1,1,Female,15789557,Howell-Price,817,27,7,129810.6,59259.44
4942,1,0,0,Male,15784687,Simmons,592,36,1,126477.42,179718.17
3662,1,0,1,Female,15628123,Robinson,632,28,5,118890.81,145157.97
1562,2,1,1,Male,15600991,Artemieva,694,31,6,109052.59,19448.93
4112,1,1,1,Female,15763107,Little,700,30,9,0.0,174971.64
9049,2,1,1,Female,15584288,Hung,629,33,6,0.0,59129.72
9275,1,1,1,Male,15749265,Carslaw,427,42,1,75681.52,57098.0
8537,2,1,1,Female,15800068,Cooper,801,46,6,0.0,170008.74
794,1,1,0,Male,15776807,Brennan,654,29,1,0.0,180345.44
5853,3,1,0,Male,15765300,L?,596,40,5,62389.03,148623.43
7618,2,0,0,Female,15752601,McCulloch,578,40,7,0.0,102233.73
1593,1,1,1,Male,15741728,Atkins,591,36,7,135216.8,122022.89
7417,1,1,0,Female,15736533,Monaldo,730,37,5,124053.03,118591.67
5266,1,1,1,Male,15784700,Chikelu,811,31,7,117799.28,182372.35
7146,1,1,1,Male,15646594,Ali,749,41,5,57568.94,61128.29
88,3,1,0,Female,15622897,Sharpe,646,46,4,0.0,93251.42
8694,2,0,0,Female,15742116,Torres,671,48,9,116711.06,76373.38
9731,1,1,0,Male,15627859,Nebeolisa,607,29,7,102609.0,163257.44
9445,1,1,0,Female,15731951,Reilly,689,28,5,95328.6,6129.61
6753,1,1,1,Male,15568449,Fu,661,38,7,143006.7,15650.89
3501,2,0,0,Female,15802060,Ch'ang,646,30,10,100548.67,136983.77
2233,1,0,0,Male,15791268,Neumann,565,38,0,122447.76,67339.34
2802,1,1,1,Male,15723299,Sorokina,774,53,4,113709.28,153887.93
4423,2,1,1,Female,15739857,Trentino,785,40,3,0.0,96832.82
5662,2,0,1,Female,15659937,Otutodilinna,703,40,7,0.0,122518.5
7169,2,0,0,Male,15684722,Fraser,490,34,5,122952.9,154360.97
8336,1,0,0,Female,15788480,Pagnotto,786,33,0,122325.58,34712.34
2147,1,1,1,Male,15574167,Fox,665,33,2,101286.11,159840.51
7968,1,0,1,Male,15712068,Wan,592,45,8,84692.5,67214.02
6550,1,1,1,Female,15617331,Sergeyeva,637,39,3,109698.41,88391.29
7642,1,1,1,Male,15654760,Su,811,40,1,101514.89,121765.0
6163,2,1,0,Female,15581323,White,488,28,7,139246.22,106799.49
1494,2,0,1,Male,15808189,Woodard,449,52,6,0.0,123622.0
7695,2,0,0,Female,15629985,Eidson,723,47,10,90450.0,103379.31
7093,1,1,0,Female,15644453,Loggia,606,41,4,132670.53,156476.36
1408,2,0,0,Male,15579062,Chu,707,32,9,0.0,30807.02
6690,1,1,0,Male,15579223,Niu,573,30,8,127406.5,192950.6
3400,1,1,1,Male,15750874,Onyemere,676,31,3,78990.15,124777.14
108,1,0,0,Male,15602312,Walkom,605,33,5,150092.8,71862.79
5635,1,0,1,Female,15746662,Maduabuchim,568,27,1,116320.68,45563.94
8481,2,1,0,Female,15747558,Bryant,729,38,10,0.0,189727.12
6603,2,0,1,Female,15683213,Bergamaschi,554,35,10,74988.59,190155.13
1090,1,1,1,Female,15604304,Perry,539,34,4,91622.42,136603.42
5559,1,1,0,Male,15729557,Olisaemeka,850,36,5,119984.07,191535.11
9411,4,1,0,Female,15796115,Forbes,689,40,4,78119.59,119259.34
8142,1,0,1,Male,15752502,Cooke,615,41,4,130385.82,130661.95
8663,1,1,1,Male,15736578,Hamilton,539,39,1,0.0,28184.7
6595,2,0,0,Male,15734948,Igwebuike,601,24,7,0.0,144660.42
623,2,0,1,Male,15773456,Lazareva,678,36,3,145747.67,89566.74
6870,2,1,1,Female,15762793,Jones,850,36,0,136980.23,99019.65
4813,2,0,1,Male,15723858,Schiavone,517,39,3,0.0,12465.51
6552,1,1,0,Female,15636407,Beatham,793,34,5,127758.09,143357.03
7529,1,1,1,Female,15575430,Robson,579,33,1,118392.75,157564.75
5795,2,1,0,Male,15565891,Dipietro,709,39,8,0.0,56214.09
7436,1,1,0,Female,15671534,Hovell,646,57,6,90212.0,13911.27
4217,1,1,1,Male,15583840,Okechukwu,587,35,5,121863.61,23481.69
5940,2,1,1,Female,15791958,Mazzi,849,41,6,0.0,169203.51
8500,1,1,0,Male,15584785,Ogochukwu,660,37,2,97324.91,23291.83
6428,1,1,0,Female,15577423,Mosley,627,39,5,124586.93,93132.61
6826,2,1,1,Female,15727361,Chiemela,547,51,1,0.0,56908.41
4130,1,1,0,Male,15731669,Szabados,554,39,2,129709.62,173197.12
7801,1,0,0,Male,15798844,Chijindum,678,54,7,128914.97,191746.23
7753,1,1,0,Male,15777616,Pisani,605,28,10,113690.83,33114.24
4721,1,1,0,Female,15695034,Christie,757,44,4,123322.15,137136.29
1650,2,0,0,Male,15718106,Kelley,625,34,6,0.0,197283.2
4140,2,1,1,Female,15762048,Yuan,841,33,7,154969.79,99505.75
1617,2,0,1,Female,15801062,Matthews,557,40,4,0.0,105433.53
2029,2,1,1,Male,15666043,Mackey,520,33,4,156297.58,166102.61
8517,2,1,1,Male,15671800,Robinson,688,20,8,137624.4,197582.79
4575,2,0,1,Male,15756926,Atherton,833,29,1,96462.25,48986.18
3992,2,0,0,Male,15602811,Chioke,730,38,0,38848.19,94003.11
7376,1,1,1,Male,15765093,Coates,704,23,6,166594.78,155823.2
6149,2,1,1,Male,15670066,Ibezimako,643,34,6,0.0,116046.22
4908,1,1,0,Male,15806256,Jackson,540,48,2,109349.29,88703.04
5026,2,0,0,Male,15673223,Hou,626,44,10,0.0,164287.86
8260,1,0,1,Female,15627830,Nikitina,640,30,5,32197.64,141446.01
4731,2,0,1,Female,15622230,Cribb,705,35,3,0.0,66331.01
7548,2,0,1,Female,15658504,Chiawuotu,584,62,9,137727.34,121102.9
8134,1,1,1,Male,15761783,Shah,577,41,6,0.0,167621.18
1606,2,1,0,Female,15714080,Goliwe,566,40,2,97001.36,154486.01
4773,2,1,1,Female,15709451,Gordon,646,35,1,121952.75,142839.82
8109,2,1,0,Female,15640133,Pai,661,34,0,0.0,185555.63
6951,1,0,1,Male,15738889,Shih,658,42,8,102870.93,103764.55
6004,1,1,1,Female,15802088,Grant,521,22,10,0.0,101311.95
7728,1,0,1,Female,15637857,Woolacott,616,31,8,0.0,76456.17
3541,1,1,1,Female,15637169,Maclean,838,67,4,103267.8,78310.04
388,2,0,1,Female,15748936,Whitehead,709,45,2,0.0,162922.65
1794,2,1,0,Male,15606841,Ibbott,823,38,1,0.0,156603.7
8731,2,0,1,Female,15769125,Palerma,727,41,10,0.0,47468.56
4919,1,1,1,Female,15625941,Gray,682,50,10,128039.01,102260.16
5537,1,1,1,Female,15735346,Wallace,527,41,10,136733.24,57589.29
3872,1,0,0,Male,15620123,Christie,605,39,6,111169.91,9641.4
8868,1,1,0,Female,15708357,Chapman,649,38,8,0.0,103760.53
2254,1,0,1,Male,15585533,Calabrese,679,36,6,147733.64,172501.38
3412,1,1,1,Male,15782802,Beneventi,582,26,6,114450.32,14081.64
5459,2,1,0,Female,15617507,Wilson,530,36,7,0.0,80619.09
4955,2,1,0,Male,15581525,Walker,775,33,3,83501.66,128841.31
7396,2,1,0,Female,15603565,Mackenzie,603,56,5,90778.76,162223.67
5414,2,1,0,Female,15600357,Findlay,495,40,1,140197.71,150720.39
7399,1,1,0,Female,15769548,Hyde,668,37,7,128645.67,92149.64
7414,2,1,1,Female,15802869,Ball,737,45,2,99169.67,78650.95
9100,2,1,1,Male,15743075,Ko,659,35,6,0.0,58879.11
4851,1,1,0,Female,15618239,Neumann,530,48,0,0.0,85081.09
2025,2,0,0,Male,15752953,Chien,634,45,9,0.0,17622.82
2615,1,1,1,Male,15700209,Walker,486,63,9,97009.15,85101.0
7388,1,1,1,Female,15808023,Remington,836,29,9,133681.78,153747.73
2926,2,1,1,Male,15744529,Chiekwugo,510,63,8,0.0,115291.86
1121,2,1,0,Female,15672704,Jackson,809,24,4,0.0,193518.76
2910,1,0,0,Male,15746139,Enemuo,596,33,2,139451.67,63142.12
8146,1,1,1,Male,15600086,Combs,717,48,7,123764.95,169952.82
7383,2,0,0,Female,15672912,Loggia,737,39,7,130051.66,55356.39
